2025-10-28 01:28:10, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-28 01:28:12, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-28 01:32:40, MOVE, v:1, k:poo@motoca, mode:BACK
2025-10-28 01:34:42, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-28 01:34:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:32
2025-10-28 01:34:48, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:32
2025-10-28 01:35:58, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:35
2025-10-28 01:37:18, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:38
2025-10-28 01:37:36, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:38
2025-10-28 01:37:57, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:38
2025-10-28 01:41:55, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:42
2025-10-28 01:42:13, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:42
2025-10-28 01:43:00, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:45
2025-10-28 01:44:14, MOVE, v:1, k:poo@motoca, mode:BACK
